Date,Age,Missing from,Circumstances,
Late 4th century BC,Unknown,"Didao, State of Qin, China","The Ancient Chinese philosopher and writer who reportedly wrote the Tao Te Ching and founded Taoism, is thought to have disappeared sometime in the late 4th century BC and was never seen again.",
30 BC,10,Egypt,"Helios and Philadelphus, sons of Cleopatra and Mark Antony and the younger half-brothers of Caesarion, left Egypt for Rome, after which their fates are unknown.",
Ptolemy Philadelphus,,,,
108–164,Various,Roman Empire,"The Roman legion stationed in Roman Britain, following the Roman conquest of Britain in 43 AD, disappears from surviving records without explanation in the second century. There are multiple conjectures regarding what happened to it and why no record of its fate has been found. Many references to the legion have been made in subsequent works of fiction.",
August 683,Unknown,"Northern outskirts of Medina, Umayyad Caliphate (modern-day Saudi Arabia)","Saf ibn Sayyad, an alleged claimant of prophethood during the time of Islamic prophet Muhammad, reportedly disappeared during the Battle of al-Harra and was never seen again.",
774,Unknown,Vātāpi,"Vijayaditya II, son of Kirtivarman II, was crown prince of the Badami Chalukya dynasty until its destruction in 753 by the Rashtrakutas. He narrowly escaped a grim fate at Vātāpi (now Badami) by fleeing south with his wife to Ganga territory, where he lived for many years by the grace of the Ganga king Sripurusha. He departed on a journey north in 774, after which his whereabouts are unknown.",
809,Unknown,Greater Khorasan,"A Khurasani Arab noble who led a large-scale rebellion against the Abbasid Caliphate in the years 806–809. Al-Layth voluntarily surrendered to the governor of Khurasan, al-Ma'mun. He was pardoned, and his ultimate fate thereafter remains unknown.",
825,Unknown,Baghdad,Al-Uqayli was the leader of a rebellion of the Qays tribe during the civil war of the Fourth Fitna. Nothing is known of his whereabouts following his surrender to the seventh Abbasid caliph in approximately 825.,
13 February 1021,36,"Cairo, Egypt",The sixth Fatimid caliph and 16th Ismaili imam rode his donkey to the Mokattam hills for one of his regular nocturnal meditation outings and failed to return. A search found only the donkey and his bloodstained garments.,
27 September 1177,Unknown,Middle East,"Pope Alexander III sent his personal physician, Master Philip, to find and establish diplomatic contact with the mythical priest-king from the East, Prester John. The route that Philip took is a mystery. He was never heard from again.",
1183,20–21,Italy,"A Lombard noble of the House of Montferrat, brother of the famous Conrad (king-consort of Jerusalem) and Boniface (crusader king of Thessalonica), and son-in-law to Byzantine Emperor Manuel Komnenos, was assumed poisoned along with his wife during a coup and the subsequent power struggle in Constantinople. Chroniclers describe his wife's death, but not his.",
April 1203,15–16,"Rouen, France","The 4th Earl of Richmond and Duke of Brittany between 1196 and 1203, Arthur was captured by his uncle King John's barons on 1 August 1202, and imprisoned in the Château de Falaise in Falaise, Normandy. While there, John ordered him to be castrated, but Arthur's guard Hubert de Burgh could not bring himself to let this happen, so he leaked news that Arthur had died of natural causes, which Brittany didn’t believe as they suspected he had been murdered. Arthur disappeared in April 1203 after being transferred to Rouen Castle. Several stories existed about his fate, but he is generally believed to have been murdered by John.",
1398,62–63,"Kingdom of Desmond, Ireland","Gerald FitzMaurice FitzGerald, also known by the Irish-language Gearóid Iarla (Earl Gerald), was the 3rd Earl of Desmond, lord of Munster, and Norman-Gaelic poet; he disappeared in 1398.",
13 July 1402,25,China,"Missed in Jingnan rebellion, a civil war in the early years of the Ming dynasty of China between him and his uncle Zhu Di, the Prince of Yan. The campaign ended after the forces of the Prince of Yan captured the imperial capital Nanjing, with Yunwen and his family disappearing, presumably dying in the fire.",
Zhu Wenkui,,,,
1412,~58,Wales,"The last native Welsh person to hold the title Prince of Wales, Glyndŵr instigated the Welsh Revolt against the rule of Henry IV of England in 1400. Although initially successful, the uprising was eventually defeated, but Glyndŵr disappeared and no one knows what became of him after that.",
29 May 1453,48,Constantinople,"The last Byzantine emperor during the final hours of the Siege of Constantinople, Constantine XI Palaiologos disappeared during the fighting and most likely died.",
January 1463,~32,"Paris, France",The fate of the French poet and criminal after January 1463 remains unknown. A Paris court banished him from the town on 5 January 1463; after this no certain facts about him and his life and whereabouts exist.,
Mid-1483,12,"London, England","The Princes in the Tower, Edward V of England and Richard of Shrewsbury, sons of King Edward IV of England and Elizabeth Woodville, were placed in the Tower of London (which at that time served as a fortress and a royal palace as well as a prison) by their uncle Richard III of England. Neither was ever seen in public again and their fate remains unknown. The remains of four children that have been found could be the princes, but they have not been subjected to DNA analysis to positively identify them.",
"Richard of Shrewsbury, 1st Duke of York",,,,
June 1487,30–31,"Oxfordshire, England","Lovell, a rebel Yorkist knight, was last seen alive fleeing from the Battle of Stoke Field after defeat by the Lancastrians. In 1488 he was granted safe conduct in Scotland by King James IV but there is no evidence he was ever in the country. (A skeleton found at one of his mansions at Minster Lovell, Oxfordshire, in 1708 was believed, without evidence, to be his.)",
29 August 1526,37–38,"Mohács, Hungary","Brother of John Zapolya, George was relegated to the political life besides his brother. He was engaged to Elisabeth Corvinus, daughter of John Corvinus, in 1504, but the last surviving member of the Hunyadi family died in 1508. He was commander of the Hungarian Royal Army, along with Archbishop of Kalocsa Pál Tomori, at the Battle of Mohács, where he disappeared and presumably died. Court chaplain Miklós Tatai believed that Zápolya murdered King Louis II of Hungary, who escaped from the battle, in the house of the vicar in Dunaszekcső. Historians do not accept this report as credible.",
4 August 1578,24,"Ksar el-Kebir, Morocco","The King of Portugal from 1557 to 1578 and an example of the king asleep in mountain legend, Sebastian was likely killed during the Battle of Alcácer Quibir, but his body was never identified.",
June 1582,Unknown,Japan,"After Oda Nobunaga committed seppuku in the Incident at Honnōji, Yasuke joined Nobunaga's son Oda Nobutada. Yasuke fought alongside Nobutada's forces but was eventually captured. Aketchi Mitsuhide spared him due to being black, not Japanese and sent back to the Jesuits. After this, Yasuke's fate becomes unknown.",
c. 1590,Various,"Roanoke Colony, North Carolina, U.S.","The Roanoke colonists, including Ananias, age 27–30; Eleanor, age 19; and Virginia Dare, age 2 or 3, the first English child born in a New World English overseas possession, disappeared becoming known as the Lost Colony. On 18 August 1590, their settlement was found abandoned. The settlement was located on Roanoke Island, currently part of Dare County, North Carolina. A carving on a tree suggests they went to the local Croatoan Island, but this was never confirmed.",
1628,39–40,"Boston, Massachusetts, U.S.","The founder of the New Hampshire colony in 1623, Thompson moved his family to an island in Boston Harbor (today called Thompson Island in his honor) in 1626 becoming the first European settlers of Boston, Massachusetts. He disappeared in 1628. Some historians theorize he was the victim of foul play while others suggest he accidentally drowned in Boston Harbor.",
16 November 1629,24,"Kalbarri, Western Australia, Australia","Wouter Loos played a critical role in the mutiny of the Batavia, which shipwrecked off the coast of Australia in 1629 during its maiden voyage en route to Batavia (today Jakarta), capital of the Dutch East Indies (modern-day Indonesia). Started by Jeronimus Cornelisz, it is one of the bloodiest mutinies in history. After Cornelisz was captured, Loos was elected as the new leader of the mutineers. Most participants in the mutiny were captured, tried and executed; however, the trial decided that the crimes of Loos and a cabin boy named Jan Pelgrom de Bye were not serious enough to warrant their executions. They were instead marooned on mainland Australia (exact location is uncertain), given some supplies and instructed to make themselves known to the people who lived there. They were never heard from again.",
